pageid,title,url,revision_id,revision_timestamp,categories,file
28745947,1/3–2/3 conjecture,https://en.wikipedia.org/wiki/1/3%E2%80%932/3_conjecture,1368808118,2026-08-11T06:00:58Z,Category:Unsolved problems in mathematics,pages/28745947.wiki
506330,3SUM,https://en.wikipedia.org/wiki/3SUM,1321403038,2025-11-10T09:06:09Z,Category:Unsolved problems in computer science,pages/506330.wiki
21681084,Aanderaa–Karp–Rosenberg conjecture,https://en.wikipedia.org/wiki/Aanderaa%E2%80%93Karp%E2%80%93Rosenberg_conjecture,1375125283,2026-09-16T00:27:45Z,Category:Unsolved problems in computer science,pages/21681084.wiki
174108,Abc conjecture,https://en.wikipedia.org/wiki/Abc_conjecture,1373746011,2026-09-07T18:24:35Z,Category:Abc conjecture; Category:Unsolved problems in number theory,pages/174108.wiki
17174687,ABC@Home,https://en.wikipedia.org/wiki/ABC%40Home,1327455752,2025-12-14T12:04:10Z,Category:Abc conjecture,pages/17174687.wiki
56768957,Abundance conjecture,https://en.wikipedia.org/wiki/Abundance_conjecture,1371052942,2026-08-24T08:59:09Z,Category:Unsolved problems in geometry,pages/56768957.wiki
1084681,Agoh–Giuga conjecture,https://en.wikipedia.org/wiki/Agoh%E2%80%93Giuga_conjecture,1367213894,2026-08-01T19:20:50Z,Category:Unsolved problems in number theory,pages/1084681.wiki
24205238,Albertson conjecture,https://en.wikipedia.org/wiki/Albertson_conjecture,1335680995,2026-01-30T16:07:19Z,Category:Unsolved problems in graph theory,pages/24205238.wiki
7754592,Andrews–Curtis conjecture,https://en.wikipedia.org/wiki/Andrews%E2%80%93Curtis_conjecture,1374825064,2026-09-14T08:14:00Z,Category:Unsolved problems in mathematics,pages/7754592.wiki
7878893,Andrica's conjecture,https://en.wikipedia.org/wiki/Andrica%27s_conjecture,1370992473,2026-08-24T01:59:56Z,Category:Unsolved problems in number theory,pages/7878893.wiki
72203783,Arnold conjecture,https://en.wikipedia.org/wiki/Arnold_conjecture,1292897466,2025-05-29T13:05:39Z,Category:Unsolved problems in mathematics,pages/72203783.wiki
586357,Artificial general intelligence,https://en.wikipedia.org/wiki/Artificial_general_intelligence,1376219213,2026-09-22T20:48:59Z,Category:Unsolved problems in computer science,pages/586357.wiki
74313930,Artificial intelligence content detection,https://en.wikipedia.org/wiki/Artificial_intelligence_content_detection,1376128118,2026-09-22T05:57:05Z,Category:Unsolved problems in computer science,pages/74313930.wiki
61644530,Artificial wisdom,https://en.wikipedia.org/wiki/Artificial_wisdom,1336662003,2026-02-05T01:21:36Z,Category:Unsolved problems in computer science,pages/61644530.wiki
2085185,Artin's conjecture on primitive roots,https://en.wikipedia.org/wiki/Artin%27s_conjecture_on_primitive_roots,1375097697,2026-09-15T21:29:03Z,Category:Unsolved problems in number theory,pages/2085185.wiki
35131681,Atiyah conjecture on configurations,https://en.wikipedia.org/wiki/Atiyah_conjecture_on_configurations,1121314069,2022-11-11T17:15:48Z,Category:Unsolved problems in geometry,pages/35131681.wiki
61360134,Babai's problem,https://en.wikipedia.org/wiki/Babai%27s_problem,1222845732,2024-05-08T07:39:02Z,Category:Unsolved problems in graph theory,pages/61360134.wiki
3609890,Baillie–PSW primality test,https://en.wikipedia.org/wiki/Baillie%E2%80%93PSW_primality_test,1374862643,2026-09-14T13:54:55Z,Category:Unsolved problems in number theory,pages/3609890.wiki
3949019,Balanced prime,https://en.wikipedia.org/wiki/Balanced_prime,1343175924,2026-03-12T18:57:20Z,Category:Unsolved problems in number theory,pages/3949019.wiki
27088586,Barendregt–Geuvers–Klop conjecture,https://en.wikipedia.org/wiki/Barendregt%E2%80%93Geuvers%E2%80%93Klop_conjecture,611111282,2014-06-01T18:08:40Z,Category:Unsolved problems in computer science,pages/27088586.wiki
28059825,Barnette's conjecture,https://en.wikipedia.org/wiki/Barnette%27s_conjecture,1327781738,2025-12-16T02:38:03Z,Category:Unsolved problems in graph theory,pages/28059825.wiki
32485057,Bass conjecture,https://en.wikipedia.org/wiki/Bass_conjecture,1374575340,2026-09-12T22:01:50Z,Category:Unsolved problems in geometry,pages/32485057.wiki
1085053,Bateman–Horn conjecture,https://en.wikipedia.org/wiki/Bateman%E2%80%93Horn_conjecture,1315330599,2025-10-06T02:14:49Z,Category:Unsolved problems in number theory,pages/1085053.wiki
11774498,Baum–Connes conjecture,https://en.wikipedia.org/wiki/Baum%E2%80%93Connes_conjecture,1332178586,2026-01-10T09:40:02Z,Category:Unsolved problems in mathematics,pages/11774498.wiki
2397539,Beal conjecture,https://en.wikipedia.org/wiki/Beal_conjecture,1372586282,2026-09-01T10:15:49Z,Category:Abc conjecture; Category:Unsolved problems in number theory,pages/2397539.wiki
55828944,Bellman's lost-in-a-forest problem,https://en.wikipedia.org/wiki/Bellman%27s_lost-in-a-forest_problem,1373753124,2026-09-07T19:06:26Z,Category:Unsolved problems in geometry,pages/55828944.wiki
34917820,Berman–Hartmanis conjecture,https://en.wikipedia.org/wiki/Berman%E2%80%93Hartmanis_conjecture,1373364810,2026-09-05T16:11:02Z,Category:Unsolved problems in computer science,pages/34917820.wiki
57169339,Bing–Borsuk conjecture,https://en.wikipedia.org/wiki/Bing%E2%80%93Borsuk_conjecture,1299137183,2025-07-06T19:37:33Z,Category:Unsolved problems in mathematics,pages/57169339.wiki
